100244	adaption	 subst.	adaption
100245	adaptiv	 adj.	adaptiv
100246	adda	 verb	adda
100247	addend	 subst.	addend
100248	addenda	 subst.	addenda
100248	addendum		addenda
100250	addera	 verb	addera
100251	addiktion	 subst.	addiktion
100252	additament	 subst.	additament
100253	addition	 subst.	addition
100254	additionstecken	 subst.	additionstecken
100255_1	additiv	 adj.	additiv
100255_2	additiv	 subst.	additiv
100256	adducera	 verb	adducera
100257	adduktion	 subst.	adduktion
100258	adekvat	 adj.	adekvat
100259	adel	 subst.	adel
100259	bördsadel		adel
100259	högadel		adel
100260	adelsbrev	 subst.	adelsbrev
100261	adelskalender	 subst.	adelskalender
100262	adelskap	 subst.	adelskap
100264	adelsman	 subst.	adelsman
100265	adelsmärke	 subst.	adelsmärke
100266	adelsprivilegium	 subst.	adelsprivilegium
100268	adenit	 subst.	adenit
100269_1	adenoid	 adj.	adenoid
100269_2	adenoid	 subst.	adenoid
100270	adenovirus	 subst.	adenovirus
100271	adept	 subst.	adept
100272	aderton	 räkneord	aderton
100273	adertonde	 räkneord	adertonde
100274	adhd	 subst.	adhd
100275	adhesion	 subst.	adhesion
100276	adhesiv	 adj.	adhesiv
100277	adiabatisk	 adj.	adiabatisk
100278	adiafora	 subst.	adiafora
100279	adjektiv	 subst.	adjektiv
100280	adjektivattribut	 subst.	adjektivattribut
100282	adjektivisk	 adj.	adjektivisk
100283	adjungera	 verb	adjungera
100284	adjunkt	 subst.	adjunkt
100284	högskoleadjunkt		adjunkt
100284	pastorsadjunkt		adjunkt
100284	stiftsadjunkt		adjunkt
100284	universitetsadjunkt		adjunkt
100285	adjunktur	 subst.	adjunktur
100286	adjutant	 subst.	adjutant
100287_1	adjö	 interjektion	adjö
100287_2	adjö	 subst.	adjö
100288	adla	 verb	adla
100289	adlig	 adj.	adlig
100290	admin	 subst.	admin
100290	adminkonto		admin
100290	adminlösenord		admin
100290	adminrättigheter		admin
100291	Bushadministrationen		administration
100291	administration	 subst.	administration
100291	personaladministration		administration
100292	administrativ	 adj.	administrativ
100293	administratör	 subst.	administratör
100293	administratörsbehörighet		administratör
100293	administratörsrättighet		administratör
100293	ekonomiadministratör		administratör
100293	personaladministratör		administratör
100293	systemadministratör		administratör
100297	administratör		administrera
100297	administrera	 verb	administrera
100302	adolescens	 subst.	adolescens
100303	adonis	 subst.	adonis
100303	våradonis		adonis
100304	adoptant	 subst.	adoptant
100305	adoptera	 verb	adoptera
100306	adoptera bort	 verb	adoptera bort
100307	adoption	 subst.	adoption
100307	adoptionsregler		adoption
100307	närståendeadoption		adoption
100309	adoptivbarn	 subst.	adoptivbarn
100310	adoptivförälder	 subst.	adoptivförälder
100312	adrenalin	 subst.	adrenalin
100312	adrenalinavsöndring		adrenalin
100312	adrenalinhalt		adrenalin
100315	adrenalinkick	 subst.	adrenalinkick
100317	adrenalinstinn	 adj.	adrenalinstinn
100318	adress	 subst.	adress
100318	adresslista		adress
100318	besöksadress		adress
100318	e-postadress		adress
100318	hemadress		adress
100318	hyllningsadress		adress
100318	ip-adress		adress
100318	massadress		adress
100318	postadress		adress
100318	sommaradress		adress
100319	adressat	 subst.	adressat
100320	adressera	 verb	adressera
100321	adressera sig	 verb	adressera sig
100323	adresskort	 subst.	adresskort
100324	adresslapp	 subst.	adresslapp
100329	adsorbera	 verb	adsorbera
100330	adsorption	 subst.	adsorption
100331	adstringerande	 adj.	adstringerande
100332	aducera	 verb	aducera
100333	adult	 adj.	adult
100335	advent	 subst.	advent
100335	adventsljus		advent
100336	adventist	 subst.	adventist
100336	sjundedagsadventist		adventist
100337	adventiv	 adj.	adventiv
100337	adventivflora		adventiv
100337	adventivrot		adventiv
100337	adventivskott		adventiv
100341	adventskalender	 subst.	adventskalender
100343	adventsljusstake	 subst.	adventsljusstake
100346	adventsstake	 subst.	adventsstake
100347	adventsstjärna	 subst.	adventsstjärna
100348	adverb	 subst.	adverb
100348	gradadverb		adverb
100348	tidsadverb		adverb
100349	adverbial	 subst.	adverbial
100349	rumsadverbial		adverbial
100349	satsadverbial		adverbial
